product_id,vendor_id,market_date,customer_id,quantity,cost_to_customer_per_qty,transaction_time
1,7,03-07-19,14,0.99,6.99,17:32:00
1,7,03-07-19,14,2.18,6.99,18:23:00
1,7,03-07-19,15,1.53,6.99,18:41:00
1,7,03-07-19,16,2.02,6.99,18:18:00
1,7,03-07-19,22,0.66,6.99,17:34:00
1,7,06-07-19,4,0.27,6.99,12:20:00
1,7,06-07-19,12,3.6,6.99,9:33:00
1,7,06-07-19,14,3.04,6.99,13:05:00
1,7,06-07-19,23,1.49,6.99,12:26:00
1,7,06-07-19,23,2.56,6.99,12:46:00
1,7,10-07-19,3,2.48,6.99,18:40:00
1,7,10-07-19,4,2.13,6.99,18:06:00
1,7,10-07-19,8,2.71,6.99,18:35:00
1,7,10-07-19,23,3.61,6.99,18:56:00
1,7,13-07-19,2,4.24,6.99,9:02:00
1,7,13-07-19,5,0.71,6.99,13:43:00
1,7,13-07-19,10,2.34,6.99,10:21:00
1,7,13-07-19,10,2.28,6.99,10:29:00
1,7,13-07-19,24,0.65,6.99,12:52:00
1,7,17-07-19,4,3.03,6.99,18:44:00
1,7,17-07-19,5,4.11,6.99,16:30:00
1,7,20-07-19,1,2.09,6.99,12:48:00
1,7,20-07-19,1,4.93,6.99,13:00:00
1,7,20-07-19,15,0.02,6.99,12:04:00
1,7,20-07-19,21,2,6.99,11:33:00
1,7,24-07-19,14,0.39,6.99,17:16:00
1,7,24-07-19,19,2.74,6.99,17:30:00
1,7,27-07-19,13,1.15,6.99,9:08:00
1,7,27-07-19,17,1.55,6.99,13:58:00
1,7,27-07-19,24,3.04,6.99,9:37:00
1,7,31-07-19,3,2.64,6.99,18:36:00
1,7,31-07-19,8,3.83,6.99,18:34:00
1,7,31-07-19,19,3.69,6.99,18:11:00
1,7,31-07-19,22,1.07,6.99,18:04:00
1,7,03-08-19,4,0.08,6.99,12:12:00
1,7,03-08-19,13,0.05,6.99,13:37:00
1,7,03-08-19,13,2.36,6.99,13:46:00
1,7,07-08-19,13,0.31,6.99,18:38:00
1,7,07-08-19,24,4.65,6.99,18:30:00
1,7,10-08-19,2,0.32,6.99,8:26:00
1,7,10-08-19,2,1.29,6.99,9:29:00
1,7,10-08-19,12,4.09,6.99,8:39:00
1,7,10-08-19,23,4.57,6.99,13:20:00
1,7,10-08-19,23,0.46,6.99,13:39:00
1,7,14-08-19,5,2.35,6.99,17:32:00
1,7,14-08-19,8,3.57,6.99,18:04:00
1,7,14-08-19,11,1.5,6.99,17:06:00
1,7,14-08-19,25,3.21,6.99,18:46:00
1,7,21-08-19,11,1.59,6.99,18:18:00
1,7,24-08-19,10,1.67,6.99,8:35:00
1,7,24-08-19,15,1.19,6.99,8:47:00
1,7,24-08-19,16,4.48,6.99,11:00:00
1,7,28-08-19,2,1.07,6.99,18:56:00
1,7,28-08-19,9,3.68,6.99,18:28:00
1,7,31-08-19,5,2.4,6.99,10:00:00
1,7,31-08-19,10,0.14,6.99,9:57:00
1,7,31-08-19,22,4.86,6.99,9:12:00
1,7,04-09-19,4,2.28,6.99,18:33:00
1,7,04-09-19,9,2.18,6.99,16:30:00
1,7,04-09-19,20,5.67,6.99,17:57:00
1,7,07-09-19,8,0.94,6.99,13:33:00
1,7,07-09-19,12,2.04,6.99,8:35:00
1,7,07-09-19,12,0.99,6.99,8:49:00
1,7,07-09-19,14,0.03,6.99,9:09:00
1,7,07-09-19,19,3.09,6.99,11:57:00
1,7,11-09-19,4,2.25,6.99,18:37:00
1,7,11-09-19,7,1.54,6.99,17:37:00
1,7,11-09-19,18,2.89,6.99,17:52:00
1,7,11-09-19,25,2.16,6.99,17:21:00
1,7,14-09-19,2,4.14,6.99,13:49:00
1,7,14-09-19,6,2.94,6.99,13:42:00
1,7,18-09-19,11,2.34,6.99,18:41:00
1,7,18-09-19,17,0.04,6.99,17:14:00
1,7,21-09-19,6,1.99,6.99,12:17:00
1,7,21-09-19,24,1.82,6.99,11:11:00
1,7,21-09-19,24,4.4,6.99,11:27:00
1,7,25-09-19,2,0.06,6.99,16:47:00
1,7,25-09-19,3,0.08,6.99,18:52:00
1,7,25-09-19,21,2.08,6.99,17:28:00
1,7,28-09-19,3,2.43,6.99,9:23:00
1,7,28-09-19,13,1.14,6.99,8:54:00
1,7,01-07-20,2,1.03,6.99,18:54:00
1,7,01-07-20,7,0.63,6.99,17:21:00
1,7,01-07-20,11,3.64,6.99,18:16:00
1,7,01-07-20,11,3.7,6.99,18:27:00
1,7,01-07-20,25,0.04,6.99,17:54:00
1,7,01-07-20,25,1.25,6.99,17:56:00
1,7,04-07-20,5,4.27,6.99,11:01:00
1,7,04-07-20,16,0.62,6.99,12:51:00
1,7,04-07-20,21,1.82,6.99,10:21:00
1,7,04-07-20,1,2.42,6.99,12:37:00
1,7,08-07-20,4,4.44,6.99,18:53:00
1,7,08-07-20,8,0.84,6.99,18:39:00
1,7,08-07-20,10,1.33,6.99,17:34:00
1,7,08-07-20,10,4.44,6.99,17:36:00
1,7,08-07-20,22,0.8,6.99,17:53:00
1,7,11-07-20,1,4.04,6.99,13:03:00
1,7,11-07-20,4,1.63,6.99,10:09:00
1,7,11-07-20,18,2.88,6.99,13:44:00
1,7,11-07-20,24,1.53,6.99,11:40:00
1,7,15-07-20,14,3.88,6.99,18:51:00
1,7,15-07-20,20,4.5,6.99,18:15:00
1,7,15-07-20,21,1.63,6.99,18:43:00
1,7,18-07-20,2,2.5,6.99,13:30:00
1,7,18-07-20,9,2.16,6.99,13:54:00
1,7,22-07-20,1,2.12,6.99,18:45:00
1,7,22-07-20,6,2.28,6.99,18:49:00
1,7,22-07-20,11,3.06,6.99,18:29:00
1,7,22-07-20,19,1.06,6.99,18:44:00
1,7,25-07-20,7,5.71,6.99,10:33:00
1,7,25-07-20,12,1.59,6.99,10:20:00
1,7,25-07-20,12,2.25,6.99,10:24:00
1,7,25-07-20,19,0.74,6.99,12:03:00
1,7,01-08-20,11,0.5,6.99,11:43:00
1,7,05-08-20,7,4.92,6.99,17:43:00
1,7,05-08-20,16,1.69,6.99,18:22:00
1,7,05-08-20,21,2.27,6.99,18:52:00
1,7,05-08-20,23,4.41,6.99,17:07:00
1,7,08-08-20,17,0.03,6.99,12:56:00
1,7,08-08-20,1,1.51,6.99,11:02:00
1,7,08-08-20,1,4.99,6.99,11:38:00
1,7,12-08-20,2,4.59,6.99,18:56:00
1,7,12-08-20,2,2.39,6.99,18:59:00
1,7,15-08-20,7,1.08,6.99,10:42:00
1,7,15-08-20,22,3.45,6.99,9:33:00
1,7,22-08-20,4,4.56,6.99,13:28:00
1,7,22-08-20,4,3.47,6.99,13:33:00
1,7,22-08-20,5,2.07,6.99,13:33:00
1,7,22-08-20,25,0.76,6.99,11:02:00
1,7,26-08-20,1,2.97,6.99,18:56:00
1,7,26-08-20,4,3.11,6.99,18:36:00
1,7,26-08-20,9,2.21,6.99,18:15:00
1,7,26-08-20,14,0.91,6.99,17:35:00
1,7,26-08-20,15,2.57,6.99,16:33:00
1,7,26-08-20,22,0.57,6.99,18:16:00
